name,alpha,max_iter,lambda,J_train,J_cross
w2d2t4,0.1,30000,0.4,184819027.2950403,176020171.48764604
w2d2t4,0.1,30000,0.6,192445055.32796723,176191427.62396565
w2d2t4,0.1,30000,0.8,199954597.26555714,176471686.9307671
w2d2t4,0.1,30000,1,207350642.57154104,176855304.2013774
w2d3t1,0.1,300000,0,12381983.952201696,13754726.911214758
w2d3t1,0.1,300000,0.2,76902397.70245315,49881497.203862
w2d3t1,0.1,300000,0.4,98265246.76636933,72928523.47054748
w2d3t1,0.1,300000,0.6,109948970.10128634,86219929.1465949
w2d3t1,0.1,300000,0.8,118044899.46706557,94581850.05486332
w2d3t1,0.1,300000,1,124417962.16336963,100293065.77549145
w2d3t2,0.1,300000,0,12370500.536150374,13692169.981635677
w2d3t2,0.1,300000,0.2,76899773.31097764,49830842.28270378
w2d3t2,0.1,300000,0.4,98264121.0658587,72890805.78369194
w2d3t2,0.1,300000,0.6,109948309.23403253,86189710.5504067
w2d3t2,0.1,300000,0.8,118044435.56728616,94556012.93755895
w2d3t2,0.1,300000,1,124417596.39663838,100269882.60984384
w2d3t3,0.1,300000,0,12369129.068451224,13700605.375924915
w2d3t3,0.1,300000,0.2,76899740.85814527,49832992.320305236
w2d3t3,0.1,300000,0.4,98264095.12997693,72888524.45606372
w2d3t3,0.1,300000,0.6,109948199.6606591,86185034.72761527
w2d3t3,0.1,300000,0.8,118044248.22935465,94550031.3120196
w2d3t3,0.1,300000,1,124417344.48181002,100263187.44787021
w2d3t4,0.1,300000,0,12369122.356175762,13700240.209350022
w2d3t4,0.1,300000,0.2,76899740.11174081,49832961.56923641
w2d3t4,0.1,300000,0.4,98264092.02808543,72888482.32216382
w2d3t4,0.1,300000,0.6,109948184.16675106,86184714.00625667
w2d3t4,0.1,300000,0.8,118044214.93636537,94549322.96001235
w2d3t4,0.1,300000,1,124417290.30483736,100262057.70411077
w2d4t1,0.1,300000,0,12230188.359105324,13266177.805138381
w2d4t1,0.1,300000,0.2,29729720.400354486,17221977.932729505
w2d4t1,0.1,300000,0.4,41964246.51670942,23183973.708458364
w2d4t1,0.1,300000,0.6,51289463.50048464,29076344.800205637
w2d4t1,0.1,300000,0.8,58808029.27192977,34392375.55252069
w2d4t1,0.1,300000,1,65124429.33755423,39061789.67831461
w2d4t2,0.1,300000,0,12217625.43570793,13201623.253335645
w2d4t2,0.1,300000,0.2,29721009.269207004,17154017.506364305
w2d4t2,0.1,300000,0.4,41957637.9734898,23117567.05223317
w2d4t2,0.1,300000,0.6,51284143.69720422,29012620.351585124
w2d4t2,0.1,300000,0.8,58803558.77005122,34331383.68404739
w2d4t2,0.1,300000,1,65120548.05108708,39003271.398507476
w2d4t3,0.1,300000,0,12214178.21653077,13216730.561632188
w2d4t3,0.1,300000,0.2,29718897.209688976,17167345.90058523
w2d4t3,0.1,300000,0.4,41956273.82214777,23128948.5520195
w2d4t3,0.1,300000,0.6,51283218.97154216,29022234.557277758
w2d4t3,0.1,300000,0.8,58802909.42869648,34339479.56810595
w2d4t3,0.1,300000,1,65120080.30267456,39010086.687625326
w2d4t4,0.1,300000,0,12214190.582642816,13216169.379043141
w2d4t4,0.1,300000,0.2,29718833.41785394,17167286.965300307
w2d4t4,0.1,300000,0.4,41956187.503245674,23129343.83797204
w2d4t4,0.1,300000,0.6,51283133.18739252,29022962.87439853
w2d4t4,0.1,300000,0.8,58802832.77924338,34340419.54369135
